business_type,licenses_required,documents_needed,fees,government_schemes,steps,timeframe
Food Truck,FSSAI Basic Registration; GST Registration; Street Vending License; Vehicle Fitness Certificate,Aadhaar Card; PAN Card; Passport Photo; Vehicle RC; Address Proof; Food Safety Training Certificate,FSSAI: ₹100/year; GST: Free; Street Vending: ₹500-1000 (varies by city),PM SVANidhi Scheme (loan up to ₹50000); PM FME Scheme; MUDRA Loan (Shishu - up to ₹50000),1. Apply FSSAI Basic on foscos.fssai.gov.in; 2. Register GST on gst.gov.in; 3. Apply Street Vending License at local ULB; 4. Get vehicle fitness certificate; 5. Start operations,15-30 days
Bakery (Small Home),FSSAI Basic Registration; GST (if turnover >₹20L),Aadhaar Card; PAN Card; Passport Photo; Proof of Business Address; Water Test Report,FSSAI: ₹100/year; GST: Free,PM FME Scheme (grant up to ₹10L); MUDRA Loan; Stand-Up India,1. Register on foscos.fssai.gov.in; 2. Get water test report from lab; 3. Apply GST if needed; 4. Register on GeM portal for B2G sales,7-15 days
Bakery (Commercial),FSSAI State License; GST Registration; Shop & Establishment License; Fire NOC; Local Municipal Trade License,Aadhaar; PAN; Business Address Proof; Site Plan; NOC from building owner; Water Test Report; List of equipment,FSSAI: ₹2000-5000/year; Shop & Est: ₹1000-2000; Fire NOC: ₹500-2000; Municipal: ₹500-3000,PM FME Scheme; MSME Udyam Registration; CGTMSE Loan Guarantee; Startup India (if innovative),1. Register FSSAI State License; 2. Get Shop & Est license from labour dept; 3. Apply Fire NOC; 4. Get Municipal trade license; 5. Register GST; 6. Open current bank account,30-45 days
Restaurant (Small),FSSAI State License; GST Registration; Shop & Establishment License; Fire NOC; Eating House License; FSSAI Hygiene Rating,Aadhaar; PAN; Address Proof; Site Plan; NOC from landlord; Water Test Report; Staff Medical Certificates,FSSAI: ₹2000-5000/year; Eating House: ₹1000-5000; Fire NOC: ₹1000-3000; GST: Free,MUDRA Loan (Kishore - up to ₹5L); PM FME Scheme; MSME Registration,1. Apply FSSAI license; 2. Get eating house license from police/municipal; 3. Apply Fire NOC; 4. Shop & Est registration; 5. GST registration; 6. Hire staff with medical certificates,45-60 days
Restaurant (Large/Chain),FSSAI Central License; GST Registration; Shop & Establishment; Fire NOC; Eating House License; Liquor License (if applicable); Environmental Clearance,Aadhaar; PAN; Company Registration; Address Proof; Site Plan; Fire Safety Certificate; Water Test; Staff Medical Certs,FSSAI: ₹7500/year; Eating House: ₹5000-20000; Liquor: ₹50000+ (state dependent),Startup India DPIIT Recognition; MSME Udyam; Bank loans under CGTMSE,1. Incorporate company (MCA); 2. Apply FSSAI Central License; 3. GST registration; 4. All local licenses; 5. Hire compliance officer,60-90 days
Home Kitchen / Cloud Kitchen,FSSAI Basic or State License; GST Registration (if turnover >₹20L); Zomato/Swiggy Partner Registration,Aadhaar; PAN; Passport Photo; Home Address Proof; Kitchen Photos; Water Test Report,FSSAI: ₹100-2000/year; GST: Free; Platform onboarding: Free,PM FME Scheme; MUDRA Loan Shishu; Women Entrepreneurship schemes (if applicable),1. Apply FSSAI Basic on foscos.fssai.gov.in; 2. Register on Swiggy/Zomato partner portal; 3. GST if needed; 4. Open bank account for payments,10-20 days
Catering Business,FSSAI State License; GST Registration; Shop & Establishment; Municipal Trade License,Aadhaar; PAN; Business Address Proof; Staff List; Vehicle Details (if transport involved); Water Test Report,FSSAI: ₹2000-5000/year; GST: Free; Municipal: ₹1000-3000,MUDRA Loan (Kishore - up to ₹5L); MSME Udyam Registration; PM FME Scheme,1. FSSAI State License application; 2. GST registration; 3. Shop & Est license; 4. Municipal trade license; 5. Register as MSME on udyamregistration.gov.in,30-45 days
Packaged Food Manufacturing,FSSAI State/Central License; GST Registration; MSME/Factory License; BIS Certification (certain products); Legal Metrology (weights & packaging),Aadhaar; PAN; Company/Firm Registration; Factory Address Proof; Site Plan; List of Products; Water Test; Equipment List,FSSAI: ₹2000-7500/year; Factory License: ₹2000-10000; BIS: varies; Legal Metrology: ₹1000-5000,PM FME Scheme (grant up to ₹10L for upgradation); MSME Credit Linked Capital Subsidy; CGTMSE,1. Register company/firm; 2. FSSAI license; 3. Factory/MSME registration; 4. GST; 5. BIS if required; 6. Legal metrology registration; 7. Trademark (optional),60-90 days
Tiffin / Meal Delivery Service,FSSAI Basic Registration; GST (if applicable); Local Body License,Aadhaar; PAN; Address Proof; Kitchen Photos,FSSAI: ₹100/year; Local Body: ₹500-1000,PM FME Scheme; MUDRA Shishu Loan; Women Entrepreneurship Platform (WEP),1. FSSAI Basic registration online; 2. Local body intimation; 3. Set up payment (UPI/bank); 4. List on delivery apps or WhatsApp marketing,7-15 days
Dairy Products (Milk/Paneer/Ghee),FSSAI State License; GST; MSME Registration; Dairy Unit License from Animal Husbandry Dept,Aadhaar; PAN; Land/Premises Proof; Water Test; Animal Health Certificate; Equipment List,FSSAI: ₹2000-5000/year; Dairy License: ₹1000-3000; MSME: Free,National Dairy Development Board (NDDB) schemes; NABARD Dairy Entrepreneurship Development Scheme (DEDS); PM FME,1. FSSAI State License; 2. Dairy unit license from state Animal Husbandry dept; 3. MSME/Udyam registration; 4. NABARD DEDS application for subsidy; 5. GST registration,45-60 days
